customerid,isocountrycode,regularstoreid,registrationdate,unregistrationdate,gender,age,zipcode
77340000025889594,ES,ES0420,2017-11-25,2019-01-03,F,41,50011
77340000025888139,ES,ES4504,2017-11-25,"",M,56,50015
77340000025886975,ES,ES4503,2017-11-24,"",M,52,50021
77340000025884550,ES,ES4504,2017-11-24,"",M,64,50830
77340000025883871,ES,ES4504,2017-11-24,"",F,43,50003
77340000025880864,ES,ES4504,2017-11-24,"",M,46,50017
77340000025877372,ES,ES4503,2017-11-24,"",F,46,50007
77340000025876402,ES,ES4504,2017-11-24,"",M,56,50003
77340000025875335,ES,ES4504,2017-11-24,"",F,32,50003
77340000025874850,ES,ES0428,2017-11-24,"",F,44,50011
77340000025872037,ES,ES4504,2017-11-24,"",F,40,50019
77340000025871940,ES,ES4503,2017-11-24,"",M,41,50007
77340000025871843,ES,ES0428,2017-11-24,"","","",""
77340000025863404,ES,ES4507,2017-11-24,"",M,45,50014
77340000025860882,ES,ES4503,2017-11-24,"",M,40,50007
77340000025860688,ES,ES4504,2017-11-24,"","","",""
77340000025859621,ES,ES4504,2017-11-24,"",M,49,50009
77340000025859330,ES,ES4503,2017-11-24,"",F,37,50009
77340000025856905,ES,ES4503,2017-11-24,"",M,33,50196
77340000025855935,ES,ES4503,2017-11-24,"",F,40,50007
77340000025854480,ES,ES4503,2017-11-24,"","","",""
77340000025853704,ES,ES4504,2017-11-24,"","","",""
77340000025852152,ES,ES0263,2017-11-24,"","","",""
77340000025851473,ES,ES4503,2017-11-24,"",F,23,50016
77340000025850115,ES,ES0263,2017-11-24,"",F,49,50002
77340000025847981,ES,ES4503,2017-11-24,"",F,59,50018
77340000025847302,ES,ES0420,2017-11-24,2019-01-03,M,66,50154
77340000025845847,ES,ES4507,2017-11-24,"",M,69,50014
77340000025844586,ES,ES0428,2017-11-24,"",F,56,50011
77340000025843325,ES,ES4503,2017-11-24,"",F,61,50007
77340000025842646,ES,ES0413,2017-11-24,2019-01-03,M,43,50007
77340000025842258,ES,ES4503,2017-11-24,"",M,69,50006
77340000025840609,ES,ES4504,2017-11-24,"",F,24,50004
77340000025840512,ES,ES0428,2017-11-24,"","","",""
77340000025839542,ES,ES4504,2017-11-24,"",F,55,50003
77340000025839251,ES,ES4503,2017-11-24,"",M,46,50013
77340000025838669,ES,ES4503,2017-11-24,"",M,46,50007
77340000025836147,ES,ES4503,2017-11-24,"",M,37,50021
77340000025833237,ES,ES4503,2017-11-23,"",F,40,50021
77340000025827223,ES,ES4504,2017-11-23,"",F,69,50018
77340000025826641,ES,ES0263,2017-11-23,"","","",""
77340000025825574,ES,ES4504,2017-11-23,"",M,56,50009
77340000025824216,ES,ES0258,2017-11-23,"",F,69,50012
77340000025823537,ES,ES0263,2017-11-23,"",F,60,50014
77340000025818687,ES,ES4503,2017-11-23,"",F,43,50018
77340000025817814,ES,ES4507,2017-11-23,"","","",""
77340000025816747,ES,ES0263,2017-11-23,"",F,18,50006
77340000025815292,ES,ES4504,2017-11-23,"",M,34,50003
77340000025814516,ES,ES4507,2017-11-23,"",M,22,50002
77340000025814225,ES,ES4504,2017-11-23,"",M,35,50018
77340000025812867,ES,ES4503,2017-11-23,"",F,67,50007
77340000025812770,ES,ES4503,2017-11-23,"",M,19,50007
77340000025812576,ES,ES4503,2017-11-23,"",F,32,50373
77340000025812188,ES,ES0428,2017-11-23,"",M,57,50009
77340000025811509,ES,ES4503,2017-11-23,"",F,43,50007
77340000025811218,ES,ES4504,2017-11-23,"","","",""
77340000025810927,ES,ES4503,2017-11-23,"",F,62,50007
77340000025809957,ES,ES4504,2017-11-23,"",F,55,50010
77340000025802779,ES,ES0428,2017-11-23,"",F,71,50793
77340000025802585,ES,ES4503,2017-11-23,"",F,52,50013
77340000025802488,ES,ES4504,2017-11-23,"",F,28,50003
77340000025802294,ES,ES4503,2017-11-23,"",F,28,50013
77340000025798608,ES,ES0428,2017-11-23,"",F,30,50017
77340000025798123,ES,ES0263,2017-11-23,"",F,42,50014
77340000025797541,ES,ES0263,2017-11-23,"",M,33,50018
77340000025795989,ES,ES0428,2017-11-23,"","","",""
77340000025794728,ES,ES0263,2017-11-23,"",F,17,50002
77340000025792885,ES,ES4503,2017-11-23,"",F,31,50007
77340000025791042,ES,ES0258,2017-11-23,"",F,50,50010
77340000025790460,ES,ES4503,2017-11-23,"",F,53,50013
77340000025790169,ES,ES0428,2017-11-23,"","","",""
77340000025789975,ES,ES0428,2017-11-23,"",F,66,50017
77340000025788132,ES,ES4504,2017-11-23,"","","",""
77340000025787841,ES,ES4503,2017-11-23,"","","",""
77340000025786968,ES,ES4503,2017-11-23,"","","",""
77340000025786774,ES,ES0413,2017-11-23,"",F,23,50710
77340000025786580,ES,ES4507,2017-11-23,"",M,27,50059
77340000025785416,ES,ES4504,2017-11-23,"",F,29,50003
77340000025784931,ES,ES0428,2017-11-23,"","","",""
77340000025784543,ES,ES4504,2017-11-23,"",F,29,50003
77340000025784058,ES,ES4504,2017-11-23,"",M,39,50003
77340000025783573,ES,ES4507,2017-11-23,"","","",""
77340000025782894,ES,ES4503,2017-11-23,"",M,59,50018
77340000025782797,ES,ES4503,2017-11-23,"",M,45,50014
77340000025782603,ES,ES4503,2017-11-23,"","","",""
77340000025782215,ES,ES4504,2017-11-23,"","","",""
77340000025781536,ES,ES0428,2017-11-23,"",F,30,50007
77340000025781051,ES,ES4507,2017-11-23,"","","",""
77340000025780566,ES,ES4507,2017-11-23,"",M,49,50014
77340000025780081,ES,ES0428,2017-11-23,"","","",""
77340000025779693,ES,ES4503,2017-11-23,"",M,56,50009
77340000025779014,ES,ES0428,2017-11-23,"",F,55,50017
77340000025778917,ES,ES0273,2017-11-23,"",F,28,50010
77340000025778820,ES,ES0428,2017-11-23,"",F,34,50009
77340000025778626,ES,ES4503,2017-11-23,"","","",""
77340000025778238,ES,ES4503,2017-11-23,"",M,32,50007
77340000025778141,ES,ES4504,2017-11-23,"",F,31,50003
77340000025778044,ES,ES0428,2017-11-23,"","","",""
77340000025777559,ES,ES4503,2017-11-23,"",F,41,50007
77340000025776104,ES,ES4503,2017-11-23,"",F,36,08902
77340000025775619,ES,ES4503,2017-11-23,"",M,31,50005
77340000025775522,ES,ES0428,2017-11-23,"",M,67,50017
77340000025773679,ES,ES4503,2017-11-23,"",F,45,44500
77340000025773097,ES,ES4503,2017-11-22,"",F,34,50018
77340000025772709,ES,ES4503,2017-11-22,"",M,47,50007
77340000025772030,ES,ES0273,2017-11-22,"",M,61,50010
77340000025771060,ES,ES0263,2017-11-22,"","","",""
77340000025770866,ES,ES4503,2017-11-22,"",F,33,50007
77340000025770478,ES,ES4503,2017-11-22,"",M,33,50022
77340000025770284,ES,ES4503,2017-11-22,"",M,48,50410
77340000025769896,ES,ES4504,2017-11-22,"",M,37,50005
77340000025769702,ES,ES0428,2017-11-22,"",F,27,50010
77340000025768538,ES,ES4503,2017-11-22,"",M,42,50008
77340000025767180,ES,ES4504,2017-11-22,"",M,26,50003
77340000025767083,ES,ES4503,2017-11-22,"",F,48,50010
77340000025765434,ES,ES4507,2017-11-22,"",F,39,50015
77340000025764658,ES,ES4507,2017-11-22,"",F,47,50015
77340000025763203,ES,ES0263,2017-11-22,"",F,17,50014
77340000025758353,ES,ES0428,2017-11-22,"",F,64,50005
77340000025758062,ES,ES4507,2017-11-22,"","","",""
77340000025757771,ES,ES0263,2017-11-22,"",F,35,50013
77340000025757092,ES,ES4503,2017-11-22,"",F,39,50007
77340000025756510,ES,ES0263,2017-11-22,"",M,29,50014
77340000025756025,ES,ES4504,2017-11-22,"","","",""
77340000025754279,ES,ES4503,2017-11-22,"",M,38,50007
77340000025753503,ES,ES4507,2017-11-22,"",F,46,50015
77340000025753406,ES,ES4504,2017-11-22,"",F,32,50018
77340000025753309,ES,ES0428,2017-11-22,"",M,49,50011
77340000025753212,ES,ES4507,2017-11-22,"",M,46,50015
77340000025748944,ES,ES4503,2017-11-22,"",F,26,50730
77340000025748750,ES,ES4503,2017-11-22,"",M,34,50002
77340000025748556,ES,ES4503,2017-11-22,"","","",""
77340000025748071,ES,ES4503,2017-11-22,"",F,35,50008
77340000025747004,ES,ES0258,2017-11-22,"",F,81,50017
77340000025746616,ES,ES0436,2017-11-22,"",M,65,50010
77340000025745646,ES,ES4507,2017-11-22,"","","",""
77340000025744773,ES,ES4503,2017-11-22,"",M,54,50007
77340000025744482,ES,ES0263,2017-11-22,"",F,33,50014
77340000025744385,ES,ES0413,2017-11-22,"",F,41,50690
77340000025744288,ES,ES4503,2017-11-22,"",F,34,50012
77340000025742542,ES,ES4503,2017-11-22,"",F,72,50007
77340000025742348,ES,ES4507,2017-11-22,"",F,45,50015
77340000025741960,ES,ES4503,2017-11-22,"",F,62,50003
77340000025741184,ES,ES4503,2017-11-22,"",F,43,50011
77340000025736334,ES,ES0428,2017-11-22,"",F,43,50015
77340000025734976,ES,ES0263,2017-11-22,"",F,52,50014
77340000025733812,ES,ES4503,2017-11-22,"",F,34,50007
77340000025732648,ES,ES4507,2017-11-22,"",F,67,50002
77340000025732260,ES,ES4504,2017-11-22,"",F,51,50003
77340000025731969,ES,ES4503,2017-11-22,"",M,51,50007
77340000025731387,ES,ES4504,2017-11-22,"",M,31,50003
77340000025729641,ES,ES4503,2017-11-22,"",F,46,50003
77340000025729544,ES,ES4507,2017-11-22,"","","",""
77340000025728768,ES,ES4503,2017-11-22,"",F,33,50007
77340000025728477,ES,ES0428,2017-11-22,"",F,49,50009
77340000025725761,ES,ES0428,2017-11-21,"",M,18,50017
77340000025724306,ES,ES4504,2017-11-21,"",F,50,50003
77340000025723627,ES,ES0428,2017-11-21,"",F,62,50009
77340000025722754,ES,ES4504,2017-11-21,"","","",""
77340000025722463,ES,ES4503,2017-11-21,"",M,29,50007
77340000025720135,ES,ES4507,2017-11-21,"",F,38,50015
77340000025719844,ES,ES4503,2017-11-21,"",F,58,50002
77340000025719359,ES,ES4507,2017-11-21,"","","",""
77340000025718971,ES,ES4504,2017-11-21,"",F,56,50003
77340000025718874,ES,ES4503,2017-11-21,"",F,41,50015
77340000025717613,ES,ES4503,2017-11-21,"",M,30,50013
77340000025717322,ES,ES0413,2017-11-21,"",F,51,50011
77340000025715770,ES,ES4503,2017-11-21,"",F,45,50820
77340000025714897,ES,ES4504,2017-11-21,"","","",""
77340000025714218,ES,ES0258,2017-11-21,"",F,43,50011
77340000025713345,ES,ES0420,2017-11-21,"",F,54,50007
77340000025710726,ES,ES0428,2017-11-21,"","","",""
77340000025709271,ES,ES4503,2017-11-21,"",M,73,50007
77340000025707816,ES,ES0263,2017-11-21,"",F,34,50002
77340000025707331,ES,ES0285,2017-11-21,"",M,34,50014
77340000025705779,ES,ES4503,2017-11-21,"",F,33,50019
77340000025704421,ES,ES4504,2017-11-21,"",F,51,50003
77340000025703451,ES,ES0436,2017-11-21,"",F,49,50017
77340000025703063,ES,ES0428,2017-11-21,"",F,50,50017
77340000025701802,ES,ES0263,2017-11-21,"",F,48,50015
77340000025701414,ES,ES0420,2017-11-21,"",M,23,50007
77340000025700250,ES,ES4507,2017-11-21,"","","",""
77340000025699959,ES,ES0428,2017-11-21,"",M,45,50003
77340000025698019,ES,ES4507,2017-11-21,"","","",""
77340000025697437,ES,ES4504,2017-11-21,"",F,40,50003
77340000025697340,ES,ES0285,2017-11-21,"",F,24,50630
77340000025697049,ES,ES4503,2017-11-21,2017-12-07,M,31,50007
77340000025694915,ES,ES4504,2017-11-21,"",M,70,50003
77340000025694624,ES,ES4503,2017-11-21,2017-12-11,F,51,50007
77340000025694527,ES,ES4503,2017-11-21,"",M,42,50009
77340000025693460,ES,ES0263,2017-11-21,"",M,28,50015
77340000025692878,ES,ES4503,2017-11-21,2018-03-25,F,46,50001
77340000025692490,ES,ES4504,2017-11-21,"","","",""
77340000025692005,ES,ES4507,2017-11-21,"",M,50,50015
77340000025691423,ES,ES0273,2017-11-21,"",F,65,50012
77340000025691132,ES,ES0428,2017-11-21,"",F,66,50012
77340000025690744,ES,ES0258,2017-11-21,"",M,35,50011
77340000025688513,ES,ES4503,2017-11-21,"",F,55,50013
77340000025688222,ES,ES0428,2017-11-21,"",F,28,50011
77340000025688125,ES,ES0428,2017-11-21,"",M,68,50011
77340000025688028,ES,ES4504,2017-11-21,"","","",""
77340000025686864,ES,ES4503,2017-11-21,"",M,43,50007
77340000025686573,ES,ES4507,2017-11-21,"",F,60,50014
77340000025685797,ES,ES0428,2017-11-21,"",M,42,50011
77340000025684924,ES,ES0428,2017-11-21,"",F,32,50012
77340000025684827,ES,ES4507,2017-11-21,"","","",""
77340000025684536,ES,ES4504,2017-11-21,"",M,47,50018
77340000025684148,ES,ES4503,2017-11-21,"",M,40,50021
77340000025683178,ES,ES0428,2017-11-21,"","","",""
77340000025682402,ES,ES0263,2017-11-21,"","","",""
77340000025682208,ES,ES4507,2017-11-21,"",F,22,50002
77340000025682111,ES,ES4503,2017-11-21,"",M,32,50007
77340000025682014,ES,ES4503,2017-11-21,"",F,67,50012
77340000025681917,ES,ES4507,2017-11-21,"",F,49,50014
77340000025681238,ES,ES4503,2017-11-21,"","","",""
77340000025679589,ES,ES0428,2017-11-20,"",F,23,50005
77340000025679492,ES,ES4507,2017-11-20,"","","",""
77340000025678037,ES,ES0428,2017-11-20,"",M,36,50012
77340000025677164,ES,ES4503,2017-11-20,"",F,57,50017
77340000025676970,ES,ES0428,2017-11-20,"",M,54,50017
77340000025676388,ES,ES4503,2017-11-20,"",M,28,50007
77340000025676097,ES,ES4503,2017-11-20,"",M,29,50004
77340000025675709,ES,ES4507,2017-11-20,"",F,48,50015
77340000025675612,ES,ES4503,2017-11-20,"","","",""
77340000025675127,ES,ES0428,2017-11-20,"",F,47,50011
77340000025674642,ES,ES4503,2017-11-20,"","","",""
77340000025672314,ES,ES0428,2017-11-20,"",M,39,50019
77340000025672217,ES,ES4503,2017-11-20,"","","",""
77340000025668434,ES,ES0273,2017-11-20,"",F,32,50430
77340000025667852,ES,ES4504,2017-11-20,"","","",""
77340000025667755,ES,ES4507,2017-11-20,"",M,33,50002
77340000025667658,ES,ES0428,2017-11-20,"",F,42,50196
77340000025666397,ES,ES0428,2017-11-20,"",M,39,50011
77340000025664942,ES,ES0428,2017-11-20,"","","",""
77340000025664748,ES,ES0263,2017-11-20,"",M,50,50008
77340000025660480,ES,ES4504,2017-11-20,"",F,40,50017
77340000025660286,ES,ES4503,2017-11-20,"","","",""
77340000025660092,ES,ES0428,2017-11-20,"",M,25,50017
77340000025659316,ES,ES4503,2017-11-20,"",F,42,50021
77340000025659122,ES,ES4503,2017-11-20,"",F,25,50007
77340000025659025,ES,ES4507,2017-11-20,"",F,45,50015
77340000025656406,ES,ES4503,2017-11-20,"",F,43,50008
77340000025655727,ES,ES0428,2017-11-20,"",M,44,50017
77340000025654466,ES,ES4504,2017-11-20,"",F,33,50019
77340000025654369,ES,ES4503,2017-11-20,"",F,19,50001
77340000025654175,ES,ES0263,2017-11-20,"",F,63,50015
77340000025653981,ES,ES0428,2017-11-20,"",F,40,50012
77340000025653787,ES,ES0428,2017-11-20,"",M,18,50005
77340000025653593,ES,ES0263,2017-11-20,"",F,26,50014
77340000025651653,ES,ES0258,2017-11-20,"",M,57,50007
77340000025651459,ES,ES4503,2017-11-20,"",F,45,50013
77340000025650683,ES,ES4503,2017-11-20,"","","",""
77340000025650198,ES,ES0428,2017-11-20,"","","",""
77340000025649907,ES,ES4504,2017-11-20,"","","",""
77340000025648937,ES,ES0413,2017-11-20,"",F,37,50004
77340000025648355,ES,ES0436,2017-11-20,"",F,33,50009
77340000025647288,ES,ES0258,2017-11-20,"",F,46,50011
77340000025647191,ES,ES0263,2017-11-20,"",M,69,50015
77340000025646706,ES,ES0428,2017-11-20,"","","",""
77340000025644863,ES,ES4503,2017-11-20,"",F,31,50007
77340000025644475,ES,ES4503,2017-11-20,"",F,56,50770
77340000025644281,ES,ES4503,2017-11-20,"",F,56,50008
77340000025643214,ES,ES4503,2017-11-20,"","","",""
77340000025643117,ES,ES4503,2017-11-20,"",F,26,50019
77340000025641856,ES,ES4503,2017-11-20,"",F,38,50007
77340000025641565,ES,ES4503,2017-11-20,"",F,18,50009
77340000025640789,ES,ES4504,2017-11-20,"",F,69,50003
77340000025640110,ES,ES0428,2017-11-20,"",F,44,50002
77340000025639140,ES,ES4504,2017-11-20,"","","",""
77340000025638170,ES,ES4503,2017-11-20,"",M,35,50019
77340000025638073,ES,ES0263,2017-11-20,"",F,44,50014
77340000025637976,ES,ES4503,2017-11-20,"",M,67,50006
77340000025636133,ES,ES4504,2017-11-20,"","","",""
77340000025635939,ES,ES4503,2017-11-20,"",F,51,50009
77340000025635842,ES,ES4504,2017-11-20,"",F,29,50004
77340000025635357,ES,ES0285,2017-11-20,"",F,42,50019
77340000025634678,ES,ES0263,2017-11-20,2017-11-20,1,66,50007
77340000025633029,ES,ES0263,2017-11-20,"",F,29,50059
77340000025631574,ES,ES4504,2017-11-20,"",M,45,50018
77340000025629246,ES,ES4503,2017-11-20,"","","",""
77340000025628470,ES,ES4504,2017-11-20,"",F,35,50009
77340000025627015,ES,ES0263,2017-11-20,2017-12-13,F,49,50014
77340000025625269,ES,ES0428,2017-11-20,"",F,55,50011
77340000025624784,ES,ES4503,2017-11-20,"",F,38,50007
77340000025624105,ES,ES4503,2017-11-20,"","","",""
77340000025623329,ES,ES4504,2017-11-20,"",M,56,50017
77340000025622165,ES,ES0428,2017-11-20,"",F,40,50012
77340000025615860,ES,ES4504,2017-11-19,"",M,21,50003
77340000025613532,ES,ES0428,2017-11-19,"",F,50,50017
77340000025613241,ES,ES0428,2017-11-19,"","","",""
77340000025611107,ES,ES0263,2017-11-19,"",F,39,50016
77340000025610137,ES,ES4507,2017-11-19,"",F,29,50004
77340000025608973,ES,ES4504,2017-11-19,"","","",""
77340000025608488,ES,ES0428,2017-11-19,"",M,53,50006
77340000025608003,ES,ES4503,2017-11-19,"",F,43,50018
77340000025607809,ES,ES4503,2017-11-19,"",F,51,50820
77340000025606645,ES,ES4503,2017-11-19,"",F,58,50007
77340000025604802,ES,ES4504,2017-11-19,"",F,38,50003
77340000025603735,ES,ES4503,2017-11-19,"","","",""
77340000025603541,ES,ES4504,2017-11-19,"",F,27,50003
77340000025603056,ES,ES0263,2017-11-19,"",F,58,50002
77340000025602668,ES,ES4507,2017-11-19,"","","",""
77340000025601892,ES,ES0413,2017-11-19,"",F,45,50002
77340000025601504,ES,ES0263,2017-11-19,2018-01-02,M,48,50002
77340000025601213,ES,ES0436,2017-11-19,"",F,29,50005
77340000025601019,ES,ES4503,2017-11-19,"",F,40,50007
77340000025600340,ES,ES4503,2017-11-19,"",F,29,22700
77340000025600146,ES,ES0436,2017-11-19,"",F,36,50002
77340000025600049,ES,ES0263,2017-11-19,"","","",""
77340000025599564,ES,ES0263,2017-11-19,"",F,28,50002
77340000025599467,ES,ES4504,2017-11-19,"",M,37,50003
77340000025598594,ES,ES4503,2017-11-19,"","","",""
77340000025598206,ES,ES4503,2017-11-19,"",F,47,50007
77340000025598109,ES,ES4503,2017-11-19,"","","",""
77340000025598012,ES,ES0428,2017-11-19,"",F,20,50011
77340000025596557,ES,ES0258,2017-11-19,"",F,76,50017
77340000025594132,ES,ES4503,2017-11-19,"","","",""
77340000025592968,ES,ES0258,2017-11-19,"",F,60,50007
77340000025592386,ES,ES0258,2017-11-19,"",F,53,50007
77340000025591804,ES,ES4504,2017-11-19,"","","",""
77340000025591707,ES,ES4504,2017-11-19,"","","",""
77340000025591319,ES,ES0428,2017-11-19,"",F,47,50010
77340000025591125,ES,ES0428,2017-11-19,"",F,64,50017
77340000025590834,ES,ES0428,2017-11-19,"",F,52,50011
77340000025587536,ES,ES4507,2017-11-19,"",M,56,50162
77340000025586954,ES,ES0428,2017-11-19,"",F,57,50010
77340000025586469,ES,ES4504,2017-11-19,"","","",""
77340000025585887,ES,ES4503,2017-11-19,"","","",""
77340000025585111,ES,ES4503,2017-11-19,"","","",""
77340000025584238,ES,ES0428,2017-11-19,"",M,47,50010
77340000025583559,ES,ES4503,2017-11-19,"",F,30,50006
77340000025582977,ES,ES4504,2017-11-19,"",F,53,50018
77340000025582686,ES,ES0273,2017-11-19,2018-05-09,M,69,50014
77340000025582492,ES,ES4507,2017-11-19,"",F,55,50015
77340000025581716,ES,ES4507,2017-11-19,"",F,47,50015
77340000025581037,ES,ES0413,2017-11-19,"",F,42,50013
77340000025579873,ES,ES4503,2017-11-19,"",F,35,50007
77340000025577836,ES,ES0263,2017-11-19,"",F,41,50014
77340000025575702,ES,ES4503,2017-11-18,"",M,71,50018
77340000025574732,ES,ES4507,2017-11-18,"","","",""
77340000025574538,ES,ES4503,2017-11-18,"",F,72,50006
77340000025574247,ES,ES0428,2017-11-18,"",M,67,50017
77340000025574053,ES,ES4503,2017-11-18,"",F,31,50010
77340000025572404,ES,ES0428,2017-11-18,"",F,30,50009
77340000025570755,ES,ES4504,2017-11-18,"",F,49,50003
77340000025569203,ES,ES0428,2017-11-18,"","","",""
77340000025568524,ES,ES0428,2017-11-18,"",M,49,50017
77340000025567942,ES,ES0428,2017-11-18,"",F,42,50017
77340000025566487,ES,ES4507,2017-11-18,"",F,25,50015
77340000025565808,ES,ES0263,2017-11-18,"",F,38,50014
77340000025565129,ES,ES0428,2017-11-18,"",M,42,50005
77340000025564256,ES,ES4503,2017-11-18,"",M,17,50008
77340000025563577,ES,ES4503,2017-11-18,"",M,45,50006
77340000025563286,ES,ES4504,2017-11-18,"",F,50,50018
77340000025561443,ES,ES4503,2017-11-18,"",F,27,50021
77340000025560764,ES,ES4504,2017-11-18,"",F,65,50004
77340000025560473,ES,ES4504,2017-11-18,"",F,61,50004
77340000025560182,ES,ES0428,2017-11-18,"",F,51,50678
77340000025559794,ES,ES4503,2017-11-18,"",M,40,50002
77340000025558630,ES,ES4503,2017-11-18,"","","",""
77340000025557272,ES,ES4504,2017-11-18,"",F,38,50010
77340000025556981,ES,ES4503,2017-11-18,"",F,47,50194
77340000025556593,ES,ES4507,2017-11-18,"","","",""
77340000025556496,ES,ES4503,2017-11-18,"",F,54,50740
77340000025555817,ES,ES4503,2017-11-18,"",M,50,50007
77340000025554362,ES,ES4504,2017-11-18,"",F,58,50003
77340000025553295,ES,ES0413,2017-11-18,"",F,30,50017
77340000025552907,ES,ES4503,2017-11-18,2017-11-30,M,24,50007
77340000025552325,ES,ES4507,2017-11-18,"",M,48,50018
77340000025551840,ES,ES4503,2017-11-18,"","","",""
77340000025551064,ES,ES0273,2017-11-18,"",F,21,50003
77340000025550579,ES,ES4503,2017-11-18,"","","",""
77340000025548930,ES,ES0428,2017-11-18,"",F,55,50012
77340000025548736,ES,ES0428,2017-11-18,"",M,58,50010
77340000025548639,ES,ES0263,2017-11-18,"","","",""
77340000025547378,ES,ES4507,2017-11-18,"",F,19,50002
77340000025547184,ES,ES0258,2017-11-18,"",M,57,50015
77340000025546990,ES,ES4504,2017-11-18,"","","",""
77340000025546893,ES,ES0436,2017-11-18,"",F,44,50007
77340000025545535,ES,ES0428,2017-11-18,"",F,43,50009
77340000025544759,ES,ES4504,2017-11-18,"",F,59,50003
77340000025543983,ES,ES0428,2017-11-18,"",F,68,50011
77340000025543692,ES,ES4503,2017-11-18,"",F,45,50008
77340000025543110,ES,ES0428,2017-11-18,"",F,64,50017
77340000025542043,ES,ES4503,2017-11-18,"",M,68,50008
77340000025541267,ES,ES4504,2017-11-18,"","","",""
77340000025541073,ES,ES4504,2017-11-18,"",M,63,50003
77340000025540394,ES,ES0263,2017-11-18,"",M,26,08170
77340000025538163,ES,ES4504,2017-11-18,"",F,52,50018
77340000025536805,ES,ES0428,2017-11-18,"","","",""
77340000025536514,ES,ES4503,2017-11-18,"",M,53,50007
77340000025535544,ES,ES4504,2017-11-18,"","","",""
77340000025535253,ES,ES4503,2017-11-18,"",M,68,50008
77340000025533992,ES,ES0263,2017-11-18,"",F,56,50014
77340000025533895,ES,ES0263,2017-11-18,"","","",""
77340000025533604,ES,ES4504,2017-11-18,"",M,25,50005
77340000025532537,ES,ES4503,2017-11-18,"",M,48,50013
77340000025531567,ES,ES0420,2017-11-18,"",F,67,50018
77340000025531470,ES,ES0436,2017-11-18,"",M,53,50016
